"City, School",Rank,breakfast,breakfast id,lunch,lunch id,dinner,dinner id,dessert,dessert id,fast_food,fast_food id,coffee,coffee id,night_life,night_life id,,Grocery,Retail,night life,attractions,Outdoors,Social Places,meet,Random,recreation,games,study,Sports,Performing Arts,Movies,,,,,
,2,Angels,,Rawilicious,,Borealis,,Menchies,,Pita Pit,,Planet Bean,,Trappers,,,,,Trappers,Speed River,Speed River,,The Cannon,Bin 23,,,Red Brick Café,,,,,,,,
,3,Eggcetera,,Cornerstone,,W sushi,,Bin 23,,Vito's Pizza,,Williams,,Apartment 58,,,,,Apartment 58,The Arboretum,Guelph Lake,,,Borialis,,,Bullring,,,,,,,,
,4,Joint,,Magnolias,,The Woolwich Arrow,,The Boathouse,,Bobs Dogs,,Cornerstone,,McCabes,,,,,McCabes,Red brick café,Hanlon Trail,,,Magnolias,,,The bookshelf,,,,,,,,
,5,Coras,,Salsateria,,The Works,,Symposium,,Get Juiced,,The Ox,,Ebar,,,,,Ebar,Graffiti Wall,,,,With the Grain,,,Second Cup,,,,,,,,
"Markham, Unionville",1,McDonalds,,,,,,,,,,Tim Hortons,,,,,,,,,,,,,,,,,,,,,,,
,2,Cora's,,,,,,,,,,Starbucks,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Richmond Hill, In general",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mississauga, UTM",1,Tim Hortons,,Pita and grill,,Swiss Chalet,,Spin,,Harveys,,Starbucks,,&co,,,,,,,,,,,,,,Wacky Wings,,,,,,,
,2,Cora's,,Jandoul,,Tandoori Flame,,,,Tim Hortons,,Aroma Espresso Bar,,West 49,,,,,,,,,,,,,,,,,,,,,
,3,Residence,,Osmows,,Pizza hut,,,,McDonalds,,Yellow Cup,,Failte Pub,,,,,,,,,,,,,,,,,,,,,
,4,Denny's,,Umi Sushi,,Blind Duck Pub,,,,,,Tim Hortons,,Coopers Pub,,,,,,,,,,,,,,,,,,,,,
,5,,,Blind Duck Pub,,MacAdams Restaurant,,,,,,,,Wacky Wings,,,,,,,,,,,,,,,,,,,,,
"Hamitlon, McMaster",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
